feature,gain,perm,shap,score,fold
Chi4n,5092.707359790802,0.000631078923187034,0.0018532040146976843,0.557604456221198,0
HallKierAlpha,6827.11331653595,0.03689687507098132,0.057323020936545906,0.9700469493087557,0
Ipc,6182.0181086063385,0.0011250409986392207,0.00685229177883002,0.744240460829493,0
Kappa1,2932.933943271637,0.0006004364984733501,0.002656500299870472,0.5875582672811059,0
Kappa2,3780.75035238266,0.0018514963293043418,0.005229118414649259,0.7580652396313364,0
Kappa3,6386.3488602638245,0.002317933966910246,0.008925631548882412,0.8317980737327189,0
LabuteASA,3429.9962134361267,-5.283499085637078e-05,0.001675221147426921,0.23502373732718895,0
PEOE_VSA1,3392.250597715378,7.289757852445011e-05,0.0019756158442887813,0.41705137788018437,0
PEOE_VSA10,6178.13619017601,0.0011730108137194494,0.00497000380479014,0.723503129032258,0
PEOE_VSA11,3832.7745213508606,0.0011289834436734036,0.004733689070335015,0.7096781474654378,0
PEOE_VSA12,2456.0261690616608,0.0004833396468284401,0.0016962592261388818,0.5138255299539171,0
PEOE_VSA13,1466.630358695984,8.136920102104206e-05,0.002088119868754958,0.4239637050691244,0
PEOE_VSA14,3594.8787569999695,0.0059980124670146965,0.016298579364024422,0.9055306635944701,0
PEOE_VSA2,4590.858755111694,0.0029741311647473235,0.009626394597236632,0.8502311705069124,0
PEOE_VSA3,1587.3823795318604,0.0004176351156136682,0.0014895627258778533,0.47004666359447,0
PEOE_VSA4,1047.717604637146,0.0001442474316623199,0.0021525693096445648,0.46082999539170505,0
PEOE_VSA5,1078.202199935913,0.0005387287328495804,0.002147605945545891,0.5483876036866359,0
PEOE_VSA6,3420.741187095642,0.00143132848821797,0.008805853583204517,0.7926274193548387,0
PEOE_VSA7,4933.995285987854,0.00182170416962803,0.008529272743575407,0.7995399354838709,0
PEOE_VSA8,6643.671080112457,0.0006373893080292015,0.004926135241972856,0.6705077649769585,0
PEOE_VSA9,8320.345331907272,0.0017150091509603282,0.004781627284027936,0.7350239539170507,0
SMR_VSA1,1826.6206798553467,5.416955054103334e-05,0.0016008768558872827,0.36866419815668205,0
SMR_VSA10,5644.683470487595,0.016508206762656526,0.029381735009863786,0.9470054055299538,0
SMR_VSA2,951.4655549526215,0.001188522245355056,0.0046897451444074265,0.7119820506912442,0
SMR_VSA3,3308.016011238098,0.005459512800566673,0.018291139345343623,0.9032264792626729,0
SMR_VSA4,1757.0697569847107,0.000506765782114843,0.0031325596472041883,0.6013830783410138,0
SMR_VSA5,5901.061543226242,0.002092987647983191,0.007627781119060919,0.8064524239631335,0
SMR_VSA6,2885.7044265270233,0.0005648575484441809,0.00396350865912335,0.6267287695852534,0
SMR_VSA7,3514.787517309189,0.005295861200926516,0.015351310524501623,0.8917057695852534,0
SMR_VSA9,834.3132181167603,0.00014095218393226917,0.0005068481602258646,0.34562258525345624,0
SlogP_VSA1,1998.7360591888428,0.000921000337309169,0.006464949064197116,0.7211987788018432,0
SlogP_VSA10,502.80494952201843,6.866712521585438e-05,0.001013172437833983,0.33871008755760373,0
SlogP_VSA11,302.7681007385254,5.009181117340278e-05,0.00035012202084872137,0.26728143778801844,0
SlogP_VSA2,8527.983087062836,0.008103514629362813,0.026007598622200385,0.926268198156682,0
SlogP_VSA3,1402.1249241828918,0.0003697227386107338,0.00293479447740811,0.5506917926267281,0
SlogP_VSA4,2356.048456430435,0.00023194981434375704,0.0009486086075851096,0.396314,0
SlogP_VSA5,3319.487795829773,0.003111908671019642,0.013422015197454333,0.8640559769585253,0
SlogP_VSA6,4352.246596574783,0.013508155532251593,0.03309652370024662,0.9493094976958525,0
SlogP_VSA8,92.33673930168152,0.00016111956460672648,0.0005718006862147444,0.3640554838709677,0
TPSA,6166.92892074585,0.0028075097366044243,0.01027214948648001,0.8479270875576037,0
EState_VSA1,1771.5777390003204,7.230528994473518e-05,0.000458745809249776,0.3018439124423963,0
EState_VSA10,282.6451392173767,-1.0982762005951052e-07,0.0006614988922860601,0.2073735852534562,0
EState_VSA2,6061.771813154221,0.000620991393041992,0.0033489824042714717,0.6336413686635944,0
EState_VSA3,6455.72846865654,0.00022178657535941725,0.002739777582301278,0.5092174331797235,0
EState_VSA4,5602.576670408249,0.0002987856033985381,0.002531993156409696,0.5161298248847926,0
EState_VSA5,2730.777581214905,0.0002766497732722195,0.0012543064420734715,0.42626793548387093,0
EState_VSA6,2250.924109697342,0.00012890245350034025,0.0018440359772683064,0.4331803548387097,0
EState_VSA7,1695.6869769096375,0.0002977595669667266,0.0011583653452064682,0.42626786635944697,0
EState_VSA8,5655.256277561188,0.0007443211053099697,0.007546329525258261,0.7304155483870968,0
EState_VSA9,3220.44885969162,1.852465329559294e-05,0.0017410151225464676,0.3548393778801843,0
VSA_EState1,3766.536755800247,0.0006794372236127333,0.0019250787599159724,0.5691251428571429,0
VSA_EState2,9619.753620624542,0.023648659016360866,0.05394602287626052,0.9631345852534563,0
VSA_EState3,5829.205551147461,0.000933389241932625,0.004298683886056598,0.684332603686636,0
VSA_EState4,6482.3208174705505,0.0024419416428803687,0.008112199173104186,0.8225814930875576,0
VSA_EState5,7586.216765880585,0.0019746858705307624,0.005209610541255299,0.7649778525345622,0
VSA_EState6,6319.809152364731,0.0019326332188291996,0.0048631025056373005,0.7511529078341014,0
